"","title","lyrics"
"11","""To What End""","

TO WHAT END!
To what end do we
proceed so boldly
if all we are is
chemical reactions
and what world have you
so deftly sold me
if you reduce me
if I have no soul to touch
no heart to love
no evil to rise up above
no angels and no ghosts
no real victories to toast
if you believe that this is true
then I must ask
to what end do you proceed?
NO FIRE IN OUR EYES
NO STEEL IN OUR HEARTS
NO MAGIC IN OUR SONGS
ARE WE JUST EMPTY VESSELS
No fire in our eyes
No steel in our hearts
No magic in our songs[x2]
and you tell me...
I have no soul to touch
no heart to love
no evil to rise up above
no angels and no ghosts
no real victories to toast
if you believe that this is true
then I must ask
to what end do you proceed?
Did I not feel your love?
Did I not feel your hate?
And did my heart not beat
and did MY HEART NOT BREAK?!
And are these tears for naught
and are these worlds in vain
if this is all we are then what
HAVE WE TO GAIN!
What of all the art and books
music and poetry
What of all our memories
What of OUR HOPES AND DREAMS!
They hold no value then
We hold no faith but greed
So I must ask you
to what end do we proceed?
"
"12","""Ultra Blue""","

Unabashedly pursue,
the truth that we cannot deny
A revelation shining through,
orchestration Adonai
A revolution ultra-blue,
and a melodic battle cry
And though some say there'll be no coup,
we'll never know unless we
Try to see it through,
and find a different point of view,
one where faith is not taboo
And we'll all learn to see the world as new
Sometimes things we've held as true
proved to be an outright lie
But it seems we always knew,
in some unspoken lullaby
I'll see you at the rendezvous,
we'll raise our voices to the sky
And though some say there'll be no coup,
we'll never know unless we
Try to see it through, 
and find a different point of view,
one where faith is not taboo
And we'll all learn to see the world as new
Revolution ultra-blue [to fade]
"
"13","""As The Ruin Falls""","

Only now that you have taught me
(but how late) my lack
I see the chasm
and everything you are was making
my heart into a bridge
by which I might get back
from exile and grow man
and now the bridge is breaking
for this I bless you as the ruin falls
the pain you bring
far greater than all other gain
"
"14","""A Torch To End All Torches""","

Misguided satellite
I circle by habit,
can't find my orbit to save my life
I want to fall,
I want to burn,
like an ignorant craterless meteorite
Long ago I was derailed,
long ago the mission failed
but in the distance there appears a light
Disgruntled architect
building a palace
cant make it perfect to save my life
victimless crime ride the wrecking ball in
evacuate now while I breathe dynamite
Efforts all to no avail
I'm perfection's countervail
torn in pieces, I am made contrite
And in my darkest hour
the brightest light draws near to me
a torch to end all torches,
this is the light that sets me free
all shadows burn away now
but by his grace I am sustained
though all was lost,
now all is found and more is gained
Lift me up and make me whole
Instill in me a new hope
Breathe new life into my soul
"
"15","""Unquestioned Answers""","

Your traps are all baited
your scales are all weighted
but not resisting you would surely drive me insane
so im caught and convicted,
my rights are restricted
the imbecile dynasty continues to reign
your apathy of thought
has lead you to believe
that things are what they're not
my friend you've been decieved
the easiest route rarely leads to the truth
i see the self approval glaze your eyes
you know you're right
no need to worry why
a thousand stones remain unturned
in the wake of your unquestioned answers
and truth covered lies
traditions some bear
idly without out a care
but are determined that they stand unchanged
and those who choose to rebel
just to raise up some hell
tell me what are you hoping to gain
i cant reason with you
i speak words you can't hear
social conditioning left you with deafened ears
so i take your face in hand
see that look in your eyes
that rigormortis stare,
that look that i despise
and so i turn from you
i walk these streets alone
alone i search for truth
ideal that you've disowned
and wait with fingers crossed
and pray you'll someday find
a way to see things though your own eyes
"
"16","""Under Par""","

It's my life!
you set the bar too high
your expectations have become my failure
a shell you see so shallow but deep inside (deep inside)
my heart beats just the same as yours
the same blood through these clean veins
can't you see that I'm in pain
it seems my life is always under par
what can I say to change your mind about what I am
others can see what was hidden from your sight
a kid with courage and heart and his eyes open wide
an inner beauty and a bright light
my focus is not yours
I set my sights on new horizons and let my soul have scope
can't you see that I have my own dreams (my own dreams)
and though they're not the same as yours
they hold value to me, tell me why can't you see
I'm not the means to mend your past regrets
what can I say to change your mind about what I am
others can see what was hidden from your sight
a kid with courage and heart and his eyes open wide
an inner beauty and a bright light
judged for how I look, not for the good that I have done
I try the best I can, but it seems that I'm not the perfect son
shaped by God, and my volition
and the seeds that you have sown
but I ask you once again
when does my life become my own?
I have my own!...
Let's go!
My own...
what can I say to change your mind about what I am
others can see what was hidden from your sight
a kid with courage and heart and his eyes open wide
an inner beauty and a bright light
"
"17","""T & C""","

In my head everything was perfect
and every note resounds in harmony
all I seem to offer up are discords
and every note I sing sounds out of key
and every time I play with passion
I start breaking strings
and my voice cracks
when I sing from my heart
guess that's the price
I've got to pay to know that I'm alive
this melody is tearing me apart[x2]
So now what do I have to show
and what price do I have to pay
But like a saiyan I won't grow
unless I'm battered in the fray
'Cause we're all in the same machine
each one with his own broken dreams
passion gives way to failure
so let's all try and understand
you take my hand and I'll take yours
you take my hand and I'll take yours
take my hand and I'll take yours
let our passion bleed
"
"18","""Kill Me Quickly""","

Can we,
can we kill each other quickly?
Quick enough so I won't feel it?
A shot of strobe light anesthia
and I'll be fine
'Cause I'm beginning to feel cold
My hands are shaking from fear,
white from clutching my pride,
red from cutting you,
and blue from telling lies.
'Cause I'm sick of the stabbing,
I'm sick of the breaking,
I'm sick of the bleeding until we fall down,
sick of this circle of death that we dance through
again and again, just lay me in the ground.
Let's fall asleep together,
hold me darling 'cause I'm scared,
and I can't do this alone.
But I need!
your heartbeat
to haunt me,
your cold lips to breathe,
a promise that, tomorrow
we'll wake up somewhere new.
"
"19","""A Subtle Dagger""","

it infiltrates,
insidious,
it feigns at love,
betrays our trust
in what we've known,
since we were born.
the truth we've found in all we see
points to design,
still our chests swell,
we'll never find
true answers from a wishing well.
so feed us all
another lie,
to steal our thoughts,
appease our pride,
so we wont have
to change the way we see, we live, we love, we die,
our lust precedes
our blasphemy,
our logic reads
like notes from tainted autopsy.
our souls they speak of something more,
but we cant look beyond ourselves.
we implore empty skies because
our hearts hold room for no one else,
we extend our
claws to grasp at shadows of the
ideals we have,
lost causalities of a subtle dagger,
buried to the
hilt in our hearts, blood on our hands.
"
"20","""See You In The Shallows""","

I hear the waves crash far below,
the rocks are leaping for the sky,
they're starving for the air,
for a bone to break, a dream to smash apart,
but I don't care.
It looks deep enough from here, I'm diving
this cliff has been well worn by ignorance.
It looks deep enough from here, I'm diving
they float face down they all look so content.
I don't know why I'm even here.
Guess I'm afraid to be alone.
And down below I see my crew they look okay
that can't be blood the water here
is far too blue
and gravity
seems far away
but I can hear her call my name
it's so comforting to know I'll never have to think again
It looks deep enough from here, I'm diving
this cliff has been well worn by ignorance.
It looks deep enough from here, I'm diving
we float face down, and don't we look content?
It looks deep enough from here, I'm diving
this cliff has been well worn by ignorance.
It looks deep enough from here, I'm diving
we float face down, and don't we all look so content?
It looks deep enough from here
It looks deep enough from here
"
"21","""Betrayal Is A Symptom""","

Faith,
is not something that I grasp
it's something that I fake,
as I'm slipping, as I'm falling through the cracks,
Faith
without actions is a mask,
for making the same mistakes
as I'm slipping as I'm falling through the cracks.
somehow I find beauty in our failings,
somehow I find meaning in these lies
somehow I'm made perfect in this fracture,
your back is begging sweetly for my knives,
I'm spilling blood,
glancing down to hide my face,
I walk with eyes closed tight through monuments of grace,
somehow I find beauty in our failings,
somehow I find meaning in these lies
somehow I'm made perfect in this fracture,
your back is begging sweetly for my knives!
my faith is a front, I'm spilling blood,
glancing down to hide my face, I walk with eyes closed
through monuments of grace, I'm spilling blood
glancing down to hide my face I walk with eyes closed
through monuments of grace
isn't it sweet how,
trusted with angels,
and how so quickly
I break my promises?
isn't it sweet, isn't it sweet, isn't it sweet, isn't it sweet?
"
"22","""Deadbolt""","

when deadbolts awake you from deja vu dreams,
at four in the morning you know where I'll be.
out running red lights asleep at the wheel.
the sirens feed my nightmares,
I just close my eyes and I'm already here;
its already too late.
I know its nothing but lies,
but they sound so sincere;
I find them too hard to hate.
and she calls from the doorway ""stolen water is sweet,
so let's drink it in the darkness if you know what I mean""
and she calls from the doorway ""stolen water is sweet,
so let's drink it in the darkness if you know what I mean""
and I'm almost sure
that I've been here before,
that this is not the first time I've stood in front of this door,
with an overwhelming feeling that I shouldn't go in,
but it seems this is a battle that I never could win.
and you!
my true love!
you call from the hilltop.
you call through the streets,
""Darling don't you know,
the water is poison.""
and I say!
""Come on and give me my poison.""
what have I done?
is it too late to save me from this place?
from the depths of the grave?
we all are those ..
who thought we were brave.
what have I done?
"
"23","""In Years To Come""","

i want to take the bullet,
the one aimed straight for your heart,
i want to meet the wolves halfway,
and let them tear me apart.
but that's not the way they do it here.
i want to lay on the tracks,
feel hot steel screaming at me,
expose the bones on my back,
let me show you what i mean.
yeah its a different kind of love,
i want to climb barbed wire fences
and warm our hands in blood.
and this is my gift,
is asking you to fix
my ruined hands.
and its a gift that keeps on giving,
and its a gift that keeps on giving,
and its a gift that keeps on giving,
and right now its all i have to give.
i want to lay on the tracks,
feel hot steel screaming at me,
expose the bones on my back,
let me show you what i mean
i want to lay on the tracks,
feel hot steel screaming at me,
expose the bones on my back,
let me show you what i mean
i want to write the perfect song,
and play it just for you,
while you are tangled up in sleep.
i need you more than ill ever know
until i stop breathing
my lungs will take you for granted.
"
"24","""The Red Death""","

entertain the hope that somehow you'll escape me
weld the bolts and close the iron gate
drink deeply THE ILLUSION OF YOUR SAFETY,
my how wishful thoughts inebriate,
masquerade and revel in your opulence.
writhe unfettered by your stabs at ignorance.
swim through hues and whispered tones of heresy,
a dozen strokes to run your blood cold enough to believe
remember me?
you look so surprised to see me here,
with hells black wings did i overperch these walls,
for stony limits cannot hold me out,
and now
you
all
DIE
"
"25","""A Living Dance Upon Dead Minds""","

love everywhere,
exploding, maims and blinds,
a living dance upon dead minds,
love everywhere,
exploding, maims and blinds,
a living dance upon dead minds
but surely does not forget (perish),
sleep, cannot be photographed (measured);
disdains the trivial labeling of punctual brains,
but surely does not forget (perish),
sleep, cannot be photographed (measured);
disdains the trivial labeling of punctual brains,
why its love;
but at the earliest spear
of sun
perfectly should disappear
who wields a poem huger than the grave?
who wields a poem huger than the grave?
who wields a poem huger than the grave?
(who wields a poem huger than the grave?)
who wields a poem huger than the grave?
(who wields a poem huger than the grave?)
but surely does not forget (perish),
sleep, cannot be photographed (measured);
disdains the trivial labeling of punctual brains,
but surely does not forget (perish),
sleep, cannot be photographed (measured);
disdains the trivial labeling of punctual brains,
but surely does not forget (perish),
sleep, cannot be photographed (measured);
disdains the trivial labeling of punctual brains,
but surely does not forget (perish),
sleep, cannot be photographed (measured);
disdains the trivial labeling of punctual brains,
"
"26","""Where Idols Once Stood""","

our idols lay in ruins
we'd have saved them if we could
but we still choose to worship
the places where our idols stood.
still believing
they can save us,
I've lived this way too long to turn back now
Presuppositions set in stone
this coffin sealed by my own pride,
and though it seems the sun will shine,
ill draw the shades and stay inside.
if we've learned anything at all,
its that the ghosts of idols will do just as well
we all see what we want to anyway [screams:] anyway
some things
are better left unsaid.
you know what's at stake
something's are better left unsaid
as long as we keep it
in textbooks, then well be untouchable, untouchable
we hate to lie to children,
but after all its all
for their own good.
"
"27","""Trust""","

mix the chemicals right dear, mix the chemicals right
yeah the margin of error is slight
mix the chemicals right dear
mix the chemicals right
yeah you know that you could
save my life
there is a risk, there's a risk when your dealing with love
you could snap my neck
any speed you drive can be dangerous
mix the chemicals right dear, mix the chemicals right
yeah you know there's a fine line between
mix the chemicals right dear, mix the chemicals right
cause i know what betrayal can mean
when this frame fails me
will i trust you to carry me through?
i know there's no such thing as safety
but i know what a promise can do.
will i trust you, will i trust you to carry me through?
i will trust you, cause i know what a promise can do
"
"28","""To Awake And Avenge The Dead""","

old friend they told me you were dead
the news broadcast the funeral
500 channels focus in
your love was
ravished drawn and quartered,
the soil was swift to drink her blood.
this violence in the name of love!
but i still feel you,
despite your tombstone,
but i still feel you,
despite your tombstone,
so friend you must still walk among us,
in places we don't dare to glance
i saw you killing Aristotle
but i know it's all part of the plan.
old friend they told me you were dead
the news broadcast the funeral
500 channels focus in
your love was
ravished drawn and quartered,
the soil was swift to drink her blood.
this violence in the name of love!
old friend they told me you were dead
the news broadcast the funeral
500 channels focus in
your love was
ravished drawn and quartered,
the soil was swift to drink her blood.
this violence, this violence, this violence in the name of love!
TO..AWAKE..AND, .. AVENGE THE DEAD!
TO..AWAKE..AND, .. AVENGE THE DEAD!
"
"29","""So Strange I Remember You""","

So strange I remember you in protest of a prayer,
and falling back from seas we fear to sail.
I swear I saw the shooter, gold teeth and a double dare,
Postmodern warnings seem inclined to fail.
Feigning an apology.
Those words they never left your lips.
Those 5 years in Bermuda slide by like the lights of passing ships,
So strange that I remember you,
kneeling deep in Nietzsche's lies
my throat was an open grave i drank your stained glass eyes
and they taste like dead cathedrals
that are crumbling beneath a weight, ten thousand jaded tourists
who've traded in their hearts and hands for
disposable cameras, set to document to decay,
set to capture just enough of life to catalogue the things we throw away.
(...breathing the fumes of our machines...)
We've lost our way.
(...breathing through television dreams...)
If we could only see us now.
If we could only see us now.
The words of the dead ring in our ears,
but its only a lie.
The voice in your head brings you to tears,
but you don't know why.
The words of the dead ring in our ears,
but its only a lie.
The voice in your head brings you to tears,
but its only a lie,
yes, its only a lie,
...isn't it?
"
"30","""The Beltsville Crucible""","

true friends stab you in the front
keep you from getting what you want
when one more fix could kill you
they help you realize that
you're more and less than you first had believed
you've so much to give and there's so much you need
shortcuts through graveyards and a brand new way to breathe
three thousand miles just to learn,
all that's gold does not all shine...
and helping words aren't always kind,
when one more kiss could kill you,
they help you realize that
you're more and less than you first had believed
you've so much to give and there's so much you need
shortcuts through graveyards and a brand new way to breathe
three thousand miles just to learn.
how to let my guard down
accept the fire has spread among us.
and if you're feeling all right,
you've got to play it again,
you've got to play it again.
"
"31","""Cold Cash And Colder Hearts""","

They are sick, they are poor
And they die by the thousands and we look away
They are wolves at the door
And they're not gonna move us or get in our way
'Cause we don't have the time
Here at the top of the world
Feeling alright
Here at the top of the world
We hold our own by keeping our hearts cold
Different god, darker skin
They are just not a burden that we'd like to bear
They are living in ""sin""
There are so many reasons for us not to care
But I'm feeling alright
Here at the top of the world
Doing just fine
Here at the top of the world
We've learned money matters most
So we keep our cards held close
Here at the top of the world
We hold our own by keeping our hearts cold
And we've learned what matters most
So we keep our hearts cold
They are no one
They are nowhere
They are not our problem
Not worth saving
Nonexistent if we keep our hearts cold
They are no one
They are nowhere
"
"32","""Under A Killing Moon""","

The air my lungs first loved
Carves craters from my eyes
They said ""breathe deeply son 
Or be the next to die""
Beneath the falling night
And heaven's shutting gate
Pray keep your tongue held tight
Or suffer the same fate
The blood on our black gloves
It is none of your concern
If you want to call our bluff
Get in line and wait your turn
And watch the witches burn""
Don't flinch when innocents
Are dancing with the flame
If they wanted to live
They'd learn to play the game
You can still walk away
If you just hold your tongue
If you'd just walk away
You'd live to see the sun but""
Under this killing moon
Under this burning sky
The fire's shining groom
I hold my breath and close my eyes
""The blood on our black gloves
It is none of your concern
If you want to call our bluff
Get in line and wait your turn
And watch the witches burn
We'll watch the witches burn""
"
"33","""All That's Left""","

One day the dreamers died within us 
When all our answers never came 
We hid the truth beneath our skin but 
Our shadows never looked the same 
A ghost is all that's left 
Of everything we swore we never would forget 
We tried to bleed the sickness 
But we drained our hearts instead 
We are, we are the dead 
And when we couldn't stop the bleeding 
We held our hearts over the flame 
We couldn't help but call it treason 
After that we couldn't fill our frames 
After that our shadows never looked the same 
A ghost is all that's left 
Of everything we swore we never would forget 
We tried to bleed the sickness 
But we drained our hearts instead 
We are, we are the dead 
In summers past we'd challenge fate 
With higher pitch and perfect aim 
And standing fast, we'd radiate 
A light we loved but never named 
But the answers never came 
And our shadows never looked the same 
A ghost is all that's left (we are the ones who lost our faith)
Of everything we swore we never would forget (can we be saved?)
We tried to bleed the sickness 
But we drained our hearts instead 
We are, we are the dead (we are the ones who lost our faith)
A ghost of everything we thought but never said (can we be saved?)
We tried to bleed the sickness 
But we drained our hearts instead 
We are the ones who lost our faith 
We dug ourselves an early grave 
We are the dead, can we be saved?
"
"34","""Silhouette""","

Your eyes, followed me here. 
Your eyes, seamless and sure. 
They leave me broken and, in need of a cure. 
Your eyes, followed me here. 
Your eyes, sifting my soul. 
They leave me broken and forge diamonds from the coal.
They race me along
the infinite synapse of white lines.
and then while chasing the dawn
with storybook syntax
Your eyes slit the throat, of all I know.
About myself in this life. 
This silhouette lie.
And your eyes, speaking in tongues. 
Vigilant still, filling my lungs. 
Testing my will. 
They leave me broken and, bruised and bleeding. 
Your eyes, resting in flame, 
Leave me breathless again
Like hydrogen
Split on faultlines
or ten years living with
exposure to radon
Your eyes slit the throat, of all I know. 
About myself in this life. 
This silhouette lie.
Your eyes, Your eyes. 
Speaking in tongues. 
Vigilant still, lead our way. 
Filling my lungs. 
Testing my will. 
You slit the throat, of all I know. 
About myself in this life. 
This silhouette lie.
You slit my throat. 
Because I know, 
That this life, is a lie. 
So slit my throat.
"
"35","""Stare At The Sun""","

I sit here clutching useless lists,
keys for doors that don't exist
I crack my teeth on pearls
I tear into the history
Show me what it means to me in this world
Yeah, in this world
'Cause I am due for a miracle
I'm waiting for a sign
I'll stare straight into the sun
And I won't close my eyes
Till I understand or go blind 
I see the parts but not the whole
I study saints and scholars both
No perfect plan unfurls
Do I trust my heart or just my mind
Why is truth so hard to find in this world
Yeah in this world
'Cause I am due for a miracle
I'm waiting for a sign
I'll stare straight into the sun
And I won't close my eyes
Till I understand or go blind (till I understand or go blind)
I know that there's a point I've missed
A shrine or stone I haven't kissed
A scar that never graced my wrist
A mirror that hasn't met my fist
But I can't help feeling like I'm
Due for a miracle
I'm waiting for a sign (waiting for a sign)
I'll stare straight into the sun
And I won't close my eyes (and I won't close my eyes)
Due for a miracle
I'm waiting for a sign
I'll stare straight into the sun
And I won't close my eyes
"
"36","""Paper Tigers""","

They preach to the choir, always in the permanent daylight
They toss paper tigers from their perfect porcelain skylines
Listen for the sound (for the sound, for the sound), 
as it all comes crashing down (as it all comes crashing down)[x2]
They preach to the choir, always in the permanent daylight
They toss paper tigers from their perfect, shatterproof spires
They light the world on fire, just to watch it burn
it'll be their funeral pyre, but they never seem to learn[x2]
Listen for the sound (for the sound, for the sound), 
as it all comes crashing down (as it all comes crashing down)[x2]
And we paid the price, we paid for their crimes with our blood, 
with our blood, with our blood, with our blood
Paid with our blood and our lives, 
with our blood and our lives, 
with our blood and our lives 
with our blood and our lives, 
with our blood and our lives
"
"37","""Hoods On Peregrine""","

The blue light spills like oceans
We smile and let it in
It cures us of our questions
Like hoods on peregrine
Knowledge locked in a tower
Barons will hold the key
But if knowledge is power,
Know this is tyranny
All we're asking for is what's ours
You think they're selling you truth,
Truth is, they're selling you out
The truth, they're selling you out
The black ink fuels our notions
That all the facts are in
It cures us of our questions
Like hoods on peregrine
Knowledge locked in a tower
Barons will hold the key
But if knowledge is power,
Know this is tyranny
All we're asking for is what's ours
You think they're selling you truth
But they're just selling you
And if we keep buying in
The line between lies and truth
Will wear paper thin,
Paper thin
You think they're selling you truth,
The truth is, they're selling you out
"
"38","""The Melting Point Of Wax""","

I've waited for this moment
All my life and more
And now I see so clearly
What I could not see before.
The time is now or never
This chance won't come again
Throw caution and myself into the wind.
There's no promise of safety with these secondhand wings
But I'm willing to find out what impossible means.
A leap of faith.
Parody of an angel
Miles above the sea
I hear the voice of reason
Screaming after me
""You've flown far too high boy now you're too close to the sun,
Soon your makeshift wings will come undone""
But how will I know limits from lies if I never try?
There's no promise of safety with these secondhand wings
But I'm willing to find out what impossible means.
I'll climb through the heavens on feathers and dreams
'Cause the melting point of wax means nothing to me.
Nothing to me
Nothing to me
I will touch the sun or I will die trying.
Die Trying.
Fly on these secondhand wings
Willing to find out what impossible means
I'll climb through the heavens on feathers and dreams
'Cause the melting point of wax means nothing to me
Nothing to me
Means nothing to me
Miles above the sea.
"
"39","""Blood Clots And Black Holes""","

Here's your new drug
Shoot it in the left eye
Feel it on the right side
No it's not love
Though it sets up shop behind your ribcage
Building blood clots and black holes
Like using an axe to pull
A sliver from your skin
And they say this is medicine
An overdose of oxygen
A severed head as sedative
To be at peace would be a sin
And surely un-american
I'm breaking
Here's your new blood
Transfusion took us all night
Tell us that you're all right
No it's not love
Though feels like fire inside of your veins
Burning right beneath the wrist
Begging for a razor's kiss
To free it from your skin
And they say this is medicine
An overdose of oxygen
A severed head as sedative
To be at peace would be a sin
And surely unamerican
I'm breaking down
Lift the veil, it's not medicine
And my heart fails, time and time again
"
"40","""The Artist In The Ambulance""","

Late night, brakes lock, hear the tires squeal
Red light, can't stop so I spin the wheel
My world goes black before I feel an angel lift me up
And I open bloodshot eyes into fluorescent white
They flip the siren, hit the lights, close the doors and I am gone
Now I lay here owing my life to a stranger
And I realize that empty words are not enough
I'm left here with the question of just
What have I to show except the promises I never kept?
I lie here shaking on this bed, under the weight of my regrets[Chorus:]
I hope that I will never let you down
I know that this can be more than just flashing lights and sound
Look around and you'll see that at times it feels like no one really cares
It gets me down but I'm still gonna try to do what's right, I know that there's
A difference between sleight of hand, and giving everything you have
There's a line drawn in the sand, I'm working up the will to cross it and[Chorus]
Rhetoric can't raise the dead
I'm sick of always talking when there's no change
Rhetoric can't raise the dead
I'm sick of empty words, let's lead and not follow
Late night, brakes lock, hear the tires squeal
Red light, can't stop so I spin the wheel
My world goes black before I feel an angel steal me from the
Greedy jaws of death and chance, and pull me in with steady hands
They've given me a second chance, the artist in the ambulance[Chorus]
Can we pick you off the ground, more than flashing lights and sound
"
